id,dev_domain,gender,year_joined,hacktoberfest
27395,IOS,M,2023,No
27396,Cloud,M,2023,Yes
27397,Machine Learning,M,2021,No
27398,Android,M,2011,Yes
27399,Cybersecurity,F,2021,No
27400,IOS,F,2008,Yes
27401,Web,M,2018,Yes
27402,Machine Learning,F,2020,Yes
27403,IOS,M,2008,Yes
27404,DevOps,M,2022,Yes
27405,Cybersecurity,M,2018,Yes
27406,IOS,M,2023,No
27407,IOS,Other,2016,Yes
27408,Cybersecurity,M,2013,No
27409,Cloud,M,2016,No
27410,Web,M,2014,Yes
27411,Cloud,M,2018,Yes
27412,Cybersecurity,M,2011,Yes
27413,Windows,F,2014,No
27414,Machine Learning,M,2017,No
27415,Machine Learning,F,2018,No
27416,Machine Learning,M,2008,Yes
27417,Android,Other,2015,No
27418,IOS,F,2014,No
27419,Windows,Other,2019,Yes
27420,Web,M,2008,No
27421,Cloud,F,2020,No
27422,Windows,F,2018,No
27423,Cloud,F,2017,Yes
27424,Machine Learning,F,2016,No
27425,Cybersecurity,F,2018,Yes
27426,Cloud,F,2012,Yes
27427,Cloud,F,2013,Yes
27428,Windows,M,2015,Yes
27429,Android,F,2021,No
27430,Android,M,2022,Yes
27431,Cybersecurity,Other,2019,No
27432,IOS,F,2020,Yes
27433,Web,M,2012,No
27434,IOS,M,2023,Yes
27435,DevOps,M,2014,Yes
27436,Cybersecurity,M,2020,Yes
27437,Cloud,F,2017,Yes
27438,Cybersecurity,F,2019,No
27439,Android,M,2021,Yes
27440,Android,Other,2016,Yes
27441,DevOps,F,2023,No
27442,Machine Learning,M,2011,No
27443,Machine Learning,M,2022,Yes
27444,Cybersecurity,M,2010,No
27445,Web,F,2010,Yes
27446,DevOps,F,2020,No
27447,DevOps,M,2023,Yes
27448,Windows,M,2016,No
27449,DevOps,M,2021,No
27450,IOS,M,2020,No
27451,Machine Learning,F,2015,Yes
27452,Cybersecurity,F,2020,Yes
27453,Android,Other,2008,No
27454,Cybersecurity,Other,2014,Yes
27455,DevOps,F,2021,Yes
27456,DevOps,F,2009,Yes
27457,Android,M,2015,Yes
27458,IOS,M,2009,Yes
27459,Cloud,F,2013,Yes
27460,DevOps,F,2018,No
27461,Machine Learning,F,2022,No
27462,Cloud,Other,2018,No
27463,Cybersecurity,F,2014,No
27464,IOS,M,2011,Yes
27465,IOS,F,2014,Yes
27466,Cybersecurity,M,2020,No
27467,Android,Other,2009,No
27468,Web,F,2019,Yes
27469,Cloud,F,2014,Yes
27470,Machine Learning,Other,2009,No
27471,Web,M,2009,Yes
27472,Android,Other,2010,No
27473,Web,Other,2022,Yes
27474,Machine Learning,F,2011,No
27475,Cybersecurity,Other,2019,Yes
27476,Windows,Other,2008,Yes
27477,Web,F,2022,Yes
27478,Web,M,2014,No
27479,Cybersecurity,F,2022,No
27480,Machine Learning,M,2019,Yes
27481,Windows,Other,2008,Yes
27482,Cybersecurity,M,2018,Yes
27483,Cybersecurity,M,2015,No
27484,DevOps,M,2019,No
27485,Android,F,2008,Yes
27486,IOS,M,2014,No
27487,Cybersecurity,Other,2020,Yes
27488,Web,F,2009,Yes
27489,Cloud,Other,2009,No
27490,DevOps,F,2016,No
27491,Web,Other,2019,Yes
27492,IOS,F,2012,No
27493,Web,F,2021,Yes
27494,Android,Other,2010,No
27495,Android,M,2009,Yes
27496,Cloud,Other,2013,No
27497,Windows,M,2013,No
27498,IOS,F,2008,Yes
27499,Cloud,M,2023,Yes
27500,DevOps,Other,2018,No
27501,Windows,F,2021,No
27502,IOS,F,2016,No
27503,IOS,F,2021,No
27504,IOS,M,2022,No
27505,Windows,F,2019,Yes
27506,Android,M,2015,Yes
27507,Web,F,2021,No
27508,Android,F,2011,No
27509,DevOps,F,2023,No
27510,Cloud,M,2012,No
27511,IOS,Other,2023,Yes
27512,Windows,Other,2020,Yes
27513,Web,Other,2015,No
27514,Cybersecurity,M,2011,No
27515,Windows,M,2011,Yes
27516,Android,F,2012,No
27517,IOS,F,2021,No
27518,Web,F,2011,Yes
27519,Windows,F,2008,Yes
27520,DevOps,Other,2013,Yes
27521,Web,F,2008,Yes
27522,DevOps,Other,2016,No
27523,Android,F,2021,No
27524,Cybersecurity,F,2011,Yes
27525,Cloud,M,2016,Yes
27526,Windows,M,2017,No
27527,DevOps,M,2019,Yes
27528,Windows,F,2019,No
27529,Android,M,2008,No
27530,Windows,M,2014,Yes
27531,Web,F,2017,No
27532,Web,M,2009,Yes
27533,IOS,M,2021,Yes
27534,Cloud,M,2020,No
27535,Cybersecurity,F,2012,Yes
27536,Machine Learning,F,2010,Yes
27537,Cloud,M,2014,Yes
27538,Machine Learning,M,2018,No
27539,Android,M,2008,Yes
27540,Web,M,2015,Yes
27541,Windows,F,2023,Yes
27542,DevOps,M,2014,Yes
27543,Cloud,F,2019,Yes
27544,Windows,Other,2010,Yes
27545,Machine Learning,F,2023,No
27546,Cybersecurity,F,2020,Yes
27547,IOS,F,2010,Yes
27548,Cloud,F,2022,No
27549,IOS,F,2009,Yes
27550,Android,M,2008,No
27551,Cloud,M,2010,No
27552,Machine Learning,M,2017,Yes
27553,Cloud,M,2011,Yes
27554,Android,F,2011,No
27555,Machine Learning,M,2014,No
27556,Windows,F,2020,No
27557,Cybersecurity,M,2013,No
27558,IOS,F,2011,No
27559,DevOps,F,2012,No
27560,Windows,F,2009,Yes
27561,Windows,M,2015,Yes
27562,IOS,M,2023,Yes
27563,DevOps,F,2022,Yes
27564,Cybersecurity,M,2021,Yes
27565,Cloud,Other,2020,No
27566,Web,M,2016,No
27567,DevOps,F,2023,No
27568,IOS,Other,2011,No
27569,Windows,F,2009,Yes
27570,Android,F,2023,No
27571,Windows,F,2016,No
27572,Web,F,2011,Yes
27573,DevOps,M,2014,Yes
27574,Cloud,F,2013,Yes
27575,Android,Other,2020,No
27576,Cybersecurity,F,2009,Yes
27577,Android,F,2010,No
27578,Android,M,2018,Yes
27579,Machine Learning,M,2010,Yes
27580,IOS,M,2012,Yes
27581,DevOps,Other,2019,No
27582,Windows,M,2019,Yes
27583,Android,M,2013,No
27584,Windows,F,2015,No
27585,IOS,M,2023,No
27586,Machine Learning,F,2014,Yes
27587,Machine Learning,M,2009,No
27588,IOS,Other,2008,No
27589,Cloud,M,2011,Yes
27590,Cloud,M,2014,Yes
27591,Cloud,F,2020,No
27592,DevOps,M,2011,Yes
27593,DevOps,F,2011,No
27594,Windows,F,2019,No
27595,DevOps,F,2021,No
27596,Android,M,2016,Yes
27597,Windows,F,2010,Yes
27598,Cybersecurity,M,2017,No
27599,Windows,F,2014,No
27600,DevOps,F,2022,No
27601,Windows,M,2016,No
27602,Windows,F,2015,Yes
27603,DevOps,M,2011,No
27604,Cybersecurity,F,2011,Yes
27605,DevOps,F,2015,No
27606,Android,F,2012,Yes
27607,Windows,F,2011,Yes
27608,DevOps,M,2016,No
27609,Cloud,F,2012,Yes
27610,Cybersecurity,M,2017,No
27611,Android,M,2009,Yes
27612,Android,M,2022,Yes
27613,Cloud,F,2013,No
27614,Windows,M,2011,Yes
27615,Cloud,M,2018,Yes
27616,Windows,F,2010,No
27617,Cybersecurity,M,2018,No
27618,DevOps,F,2020,No
27619,Web,F,2015,Yes
27620,Windows,M,2012,Yes
27621,Web,Other,2016,No
27622,Cybersecurity,Other,2014,No
27623,Cloud,M,2011,Yes
27624,IOS,F,2011,No
27625,Cybersecurity,F,2009,No
27626,Cloud,M,2008,No
27627,IOS,F,2014,Yes
27628,Web,M,2015,Yes
27629,Windows,F,2017,Yes
27630,IOS,M,2019,No
27631,Cloud,Other,2008,No
27632,Machine Learning,M,2021,No
27633,Android,M,2021,Yes
27634,IOS,F,2018,Yes
27635,Cloud,F,2013,Yes
27636,Machine Learning,M,2023,No
27637,Cybersecurity,Other,2015,Yes
27638,Web,F,2009,No
27639,Android,F,2015,No
27640,Web,M,2009,Yes
27641,Cybersecurity,F,2018,No
27642,Cybersecurity,F,2011,No
27643,Machine Learning,M,2015,No
27644,DevOps,M,2019,No
27645,Web,M,2016,Yes
27646,Machine Learning,M,2020,No
27647,Windows,F,2017,Yes
27648,Cloud,F,2023,No
27649,Android,F,2019,No
27650,Cybersecurity,F,2023,No
27651,IOS,F,2013,Yes
27652,Cybersecurity,F,2021,No
27653,Web,F,2021,Yes
27654,IOS,M,2016,No
27655,Machine Learning,F,2020,Yes
27656,Windows,F,2008,No
27657,IOS,F,2014,No
27658,DevOps,M,2018,No
27659,DevOps,Other,2010,No
27660,Android,M,2018,Yes
27661,Android,F,2012,No
27662,Web,M,2016,Yes
27663,IOS,F,2016,Yes
27664,Windows,F,2018,No
27665,Android,F,2008,Yes
27666,Windows,M,2009,No
27667,Web,F,2021,No
27668,Machine Learning,M,2015,No
27669,Android,F,2019,No
27670,Android,F,2014,Yes
27671,Cloud,M,2017,Yes
27672,Web,M,2021,Yes
27673,DevOps,M,2018,No
27674,IOS,F,2022,Yes
27675,Android,Other,2021,No
27676,Cybersecurity,M,2023,No
27677,Machine Learning,F,2017,Yes
27678,Machine Learning,F,2020,No
27679,Windows,M,2016,No
27680,Cybersecurity,M,2016,No
27681,DevOps,F,2012,Yes
27682,Machine Learning,F,2022,No
27683,Web,F,2017,No
27684,Cloud,M,2018,Yes
27685,Windows,F,2008,No
27686,Windows,Other,2020,No
27687,IOS,F,2022,Yes
27688,Web,F,2019,No
27689,IOS,F,2018,No
27690,DevOps,F,2008,Yes
27691,DevOps,M,2017,No
27692,Android,F,2022,No
27693,Cybersecurity,F,2016,Yes
27694,Cloud,M,2020,No
27695,IOS,M,2018,No
27696,Cybersecurity,F,2011,No
27697,Cybersecurity,F,2013,Yes
27698,Windows,F,2013,No
27699,Android,Other,2011,No
27700,Machine Learning,M,2010,Yes
27701,Cloud,F,2021,Yes
27702,Cloud,F,2016,No
27703,Windows,M,2011,No
27704,Cybersecurity,F,2012,No
27705,Android,F,2015,Yes
27706,Windows,F,2015,Yes
27707,Windows,M,2009,Yes
27708,IOS,M,2021,No
27709,Windows,Other,2015,No
27710,DevOps,M,2023,Yes
27711,DevOps,M,2023,No
27712,Web,F,2020,Yes
27713,DevOps,F,2009,Yes
27714,Android,M,2021,Yes
27715,Cloud,F,2020,Yes
27716,Cybersecurity,F,2017,No
27717,Web,F,2009,No
27718,Cloud,F,2019,No
27719,Cloud,F,2014,Yes
27720,Windows,M,2016,Yes
27721,Android,F,2009,Yes
27722,Cloud,Other,2023,Yes
27723,IOS,M,2009,Yes
27724,DevOps,F,2016,Yes
27725,DevOps,M,2011,No
27726,Cybersecurity,M,2018,No
27727,Cybersecurity,Other,2009,No
27728,DevOps,F,2018,Yes
27729,Android,F,2009,No
27730,IOS,F,2023,No
27731,Cloud,F,2008,Yes
27732,Android,F,2014,Yes
27733,Cybersecurity,M,2020,Yes
27734,Web,F,2014,No
27735,Cloud,Other,2017,Yes
27736,Cybersecurity,M,2013,Yes
27737,Machine Learning,F,2013,Yes
27738,DevOps,F,2011,Yes
27739,Windows,Other,2022,No
27740,DevOps,F,2016,No
27741,IOS,F,2020,No
27742,Machine Learning,F,2009,Yes
27743,Android,F,2021,Yes
27744,Cloud,F,2019,Yes
27745,DevOps,M,2020,Yes
27746,Android,F,2011,No
27747,Web,M,2013,No
27748,DevOps,M,2021,No
27749,DevOps,F,2021,Yes
27750,Cloud,M,2013,No
27751,DevOps,Other,2009,No
27752,Machine Learning,F,2019,No
27753,Cloud,F,2018,No
27754,Windows,M,2020,Yes
27755,Windows,F,2009,Yes
27756,Cloud,F,2016,No
27757,Cloud,F,2014,No
27758,Web,F,2012,No
27759,Cloud,F,2012,Yes
27760,Cybersecurity,M,2018,Yes
27761,Cloud,F,2018,No
27762,Web,M,2021,Yes
27763,Machine Learning,M,2019,Yes
27764,DevOps,M,2014,No
27765,Web,M,2021,No
27766,Windows,F,2008,Yes
27767,Machine Learning,Other,2008,Yes
27768,IOS,M,2019,Yes
27769,Cybersecurity,F,2019,Yes
27770,Windows,F,2021,No
27771,Cybersecurity,M,2015,No
27772,Cloud,M,2016,Yes
27773,Machine Learning,M,2011,No
27774,IOS,M,2023,No
27775,Cloud,M,2013,Yes
27776,Machine Learning,F,2015,Yes
27777,Windows,M,2016,Yes
27778,IOS,M,2017,No
27779,Android,M,2023,No
27780,Windows,M,2016,No
27781,DevOps,F,2023,Yes
27782,Cloud,M,2008,No
27783,Web,M,2020,No
27784,Windows,M,2014,Yes
27785,Cloud,F,2020,No
27786,Windows,F,2008,No
27787,Cybersecurity,M,2022,No
27788,Web,M,2016,No
27789,Windows,M,2015,No
27790,Cloud,M,2016,No
27791,Android,F,2013,No
27792,Web,M,2017,Yes
27793,Web,M,2021,No
27794,Windows,M,2023,Yes
27795,Cybersecurity,F,2008,Yes
27796,Web,F,2023,Yes
27797,Cybersecurity,M,2023,No
27798,Android,F,2020,Yes
27799,Web,M,2016,No
27800,Cloud,M,2015,Yes
27801,IOS,M,2008,No
27802,Android,F,2023,No
27803,Cloud,F,2021,Yes
27804,Cloud,F,2016,No
27805,Windows,M,2008,Yes
27806,IOS,M,2015,No
27807,IOS,M,2022,No
27808,Machine Learning,Other,2018,No
27809,IOS,F,2018,Yes
27810,Android,M,2016,Yes
27811,DevOps,M,2014,Yes
27812,Cybersecurity,M,2010,Yes
27813,Windows,F,2022,No
27814,IOS,Other,2018,Yes
27815,Web,F,2011,No
27816,Cybersecurity,F,2009,No
27817,Machine Learning,F,2009,Yes
27818,Android,M,2021,No
27819,DevOps,M,2015,Yes
27820,Cybersecurity,F,2008,No
27821,Web,F,2015,Yes
27822,DevOps,F,2008,No
27823,Machine Learning,F,2020,No
27824,IOS,M,2011,Yes
27825,Windows,F,2015,Yes
27826,Cloud,F,2008,Yes
27827,Android,M,2012,No
27828,Cybersecurity,M,2022,No
27829,Web,M,2015,Yes
27830,Cybersecurity,F,2021,Yes
27831,Android,M,2010,No
27832,Machine Learning,Other,2008,Yes
27833,Cybersecurity,F,2014,No
27834,IOS,F,2020,Yes
27835,Windows,M,2022,Yes
27836,Cybersecurity,M,2020,No
27837,Machine Learning,F,2017,Yes
27838,DevOps,Other,2016,No
27839,Windows,F,2011,No
27840,DevOps,M,2013,No
27841,Cloud,F,2014,No
27842,IOS,M,2013,Yes
27843,Windows,Other,2011,No
27844,Android,F,2009,Yes
27845,Cybersecurity,M,2009,Yes
27846,Cybersecurity,F,2018,No
27847,Cybersecurity,F,2020,No
27848,Android,M,2015,No
27849,Machine Learning,M,2021,No
27850,Web,Other,2009,Yes
27851,DevOps,M,2018,Yes
27852,DevOps,M,2020,No
27853,IOS,Other,2013,Yes
27854,Cloud,M,2017,Yes
27855,Web,F,2019,No
27856,IOS,F,2021,No
27857,Windows,F,2016,No
27858,DevOps,M,2012,Yes
27859,Web,F,2022,Yes
27860,Windows,F,2016,Yes
27861,Web,M,2015,Yes
27862,Web,M,2018,No
27863,Windows,M,2013,No
27864,Android,F,2023,No
27865,Windows,F,2014,No
27866,Windows,M,2018,Yes
27867,Cloud,M,2020,No
27868,Web,M,2010,No
27869,Cloud,F,2013,Yes
27870,Web,F,2022,Yes
27871,Machine Learning,F,2014,No
27872,IOS,M,2018,No
27873,DevOps,Other,2014,No
27874,Cybersecurity,Other,2012,Yes
27875,Web,M,2022,Yes
27876,DevOps,Other,2023,Yes
27877,Cybersecurity,F,2008,Yes
27878,Android,F,2017,No
27879,IOS,F,2016,Yes
27880,Windows,M,2022,Yes
27881,Windows,F,2014,Yes
27882,DevOps,M,2016,No
27883,Cybersecurity,M,2010,Yes
27884,Web,M,2010,Yes
27885,Windows,F,2020,No
27886,DevOps,F,2023,Yes
27887,Machine Learning,M,2018,No
27888,Web,F,2016,Yes
27889,Machine Learning,M,2017,No
27890,Web,F,2017,Yes
27891,Web,Other,2016,Yes
27892,Windows,M,2013,Yes
27893,Cloud,F,2020,Yes
27894,Web,F,2022,Yes
27895,Cloud,M,2021,No
27896,IOS,Other,2020,No
27897,Machine Learning,Other,2021,No
27898,Android,M,2010,Yes
27899,DevOps,M,2009,Yes
27900,Android,M,2013,Yes
27901,DevOps,F,2020,Yes
27902,Web,M,2014,Yes
27903,DevOps,Other,2021,No
27904,Android,F,2022,No
27905,Cloud,M,2014,No
27906,Cloud,M,2018,No
27907,DevOps,Other,2022,No
27908,Cybersecurity,M,2014,No
27909,Windows,F,2020,Yes
27910,Windows,M,2014,No
27911,Web,F,2012,No
27912,Web,F,2008,No
27913,Cybersecurity,Other,2016,No
27914,Windows,F,2021,No
27915,Cloud,Other,2009,No
27916,DevOps,Other,2023,No
27917,DevOps,F,2008,Yes
27918,Windows,M,2020,Yes
27919,Cloud,F,2011,No
27920,Cybersecurity,F,2009,No
27921,Android,F,2023,Yes
27922,Android,F,2016,Yes
27923,Cybersecurity,M,2008,No
27924,Cloud,M,2019,No
27925,Android,Other,2008,Yes
27926,Windows,F,2010,No
27927,Android,M,2022,Yes
27928,Android,F,2012,No
27929,Web,M,2016,No
27930,Cybersecurity,M,2017,No
27931,Windows,M,2009,Yes
27932,IOS,F,2017,Yes
27933,Web,F,2023,No
27934,DevOps,M,2021,Yes
27935,Cloud,M,2010,No
27936,Machine Learning,M,2012,Yes
27937,Windows,M,2022,Yes
27938,Web,F,2020,No
27939,Web,F,2011,Yes
27940,IOS,F,2012,Yes
27941,Android,F,2008,Yes
27942,Cloud,M,2009,No
27943,Web,M,2011,No
27944,Machine Learning,F,2015,No
27945,Cybersecurity,M,2018,Yes
27946,Cybersecurity,M,2018,No
27947,Machine Learning,M,2018,Yes
27948,Web,F,2022,Yes
27949,Android,F,2018,No
27950,Cybersecurity,F,2023,No
27951,DevOps,Other,2011,No
27952,IOS,Other,2012,No
27953,DevOps,F,2011,No
27954,IOS,M,2021,No
27955,Machine Learning,F,2008,No
27956,Android,F,2008,Yes
27957,IOS,M,2010,No
27958,DevOps,M,2011,No
27959,DevOps,F,2014,Yes
27960,Cloud,M,2014,Yes
27961,DevOps,M,2020,Yes
27962,Machine Learning,Other,2014,Yes
27963,Machine Learning,F,2014,Yes
27964,Android,Other,2009,No
27965,Android,M,2020,No
27966,Cloud,M,2015,No
27967,Web,M,2010,Yes
27968,Cloud,M,2017,No
27969,Android,F,2010,No
27970,Web,F,2009,Yes
27971,DevOps,M,2023,No
27972,IOS,F,2011,No
27973,Cloud,M,2011,No
27974,Windows,Other,2017,No
27975,DevOps,M,2010,Yes
27976,DevOps,M,2016,Yes
27977,DevOps,M,2021,No
27978,DevOps,M,2018,Yes
27979,Cloud,F,2008,Yes
27980,IOS,F,2008,Yes
27981,Cloud,F,2014,No
27982,IOS,Other,2014,No
27983,DevOps,F,2015,No
27984,Android,F,2021,No
27985,Windows,Other,2015,No
27986,Web,F,2013,Yes
27987,Windows,M,2012,No
27988,Cybersecurity,F,2012,Yes
27989,Machine Learning,F,2020,No
27990,IOS,F,2017,No
27991,IOS,F,2017,No
27992,Cybersecurity,M,2018,Yes
27993,IOS,M,2017,Yes
27994,Machine Learning,F,2020,No
27995,Android,F,2018,Yes
27996,Web,M,2011,Yes
27997,Android,M,2020,Yes
27998,Cloud,M,2021,Yes
27999,Web,Other,2019,Yes
28000,Cybersecurity,F,2011,No
28001,Machine Learning,M,2008,Yes
28002,Windows,F,2008,No
28003,Android,M,2014,No
28004,Android,M,2011,No
28005,Android,F,2016,No
28006,Machine Learning,M,2015,No
28007,Cybersecurity,F,2019,No
28008,Cloud,M,2017,Yes
28009,Machine Learning,F,2009,No
28010,Windows,F,2021,No
28011,IOS,M,2014,Yes
28012,DevOps,M,2019,No
28013,Machine Learning,M,2016,Yes
28014,Cloud,F,2018,Yes
28015,DevOps,Other,2013,Yes
28016,Machine Learning,F,2010,Yes
28017,IOS,M,2022,No
28018,Cloud,F,2016,No
28019,Machine Learning,Other,2016,Yes
28020,Windows,F,2023,No
28021,Machine Learning,M,2023,No
28022,Machine Learning,F,2020,Yes
28023,Cybersecurity,F,2019,Yes
28024,Windows,M,2008,No
28025,Machine Learning,M,2019,No
28026,Web,F,2011,No
28027,Android,F,2012,No
28028,Cloud,F,2012,Yes
28029,Machine Learning,M,2012,Yes
28030,Windows,M,2011,No
28031,IOS,M,2012,Yes
28032,Machine Learning,M,2023,Yes
28033,Cybersecurity,M,2020,No
28034,Cloud,F,2018,No
28035,Cloud,F,2020,Yes
28036,DevOps,M,2015,No
28037,Windows,Other,2023,Yes
28038,IOS,M,2008,No
28039,Windows,M,2017,No
28040,Windows,M,2020,Yes
28041,Web,F,2015,No
28042,Web,F,2016,No
28043,Cloud,M,2020,Yes
28044,Machine Learning,F,2018,No
28045,Android,F,2021,Yes
28046,DevOps,F,2018,No
28047,Windows,Other,2021,No
28048,Windows,F,2019,No
28049,Machine Learning,F,2012,No
28050,DevOps,Other,2017,Yes
28051,Cloud,F,2020,Yes
28052,Cybersecurity,F,2008,No
28053,Cybersecurity,F,2017,Yes
28054,Windows,M,2021,No
28055,DevOps,F,2019,Yes
28056,Cloud,F,2009,Yes
28057,Windows,Other,2018,Yes
28058,DevOps,M,2018,No
28059,Machine Learning,Other,2008,No
28060,Machine Learning,M,2022,Yes
28061,Android,Other,2012,No
28062,Web,M,2009,No
28063,Windows,M,2012,Yes
28064,Cybersecurity,M,2013,Yes
28065,Cybersecurity,Other,2020,No
28066,Machine Learning,F,2022,No
28067,Cloud,M,2022,No
28068,IOS,M,2008,No
28069,Android,Other,2023,No
28070,Web,F,2014,No
28071,Machine Learning,F,2011,No
28072,Cybersecurity,M,2010,Yes
28073,IOS,M,2008,No
28074,Windows,M,2019,No
28075,Web,M,2021,No
28076,Machine Learning,M,2013,No
28077,Windows,F,2016,No
28078,Android,F,2019,No
28079,Machine Learning,F,2016,Yes
28080,Web,F,2011,No
28081,Android,M,2016,Yes
28082,Web,F,2015,Yes
28083,Web,F,2014,Yes
28084,Web,F,2022,No
28085,Cybersecurity,Other,2012,No
28086,Cybersecurity,F,2013,No
28087,Windows,M,2014,No
28088,Cybersecurity,M,2011,Yes
28089,IOS,F,2017,Yes
28090,Cybersecurity,Other,2013,No
28091,Cybersecurity,M,2014,Yes
28092,Machine Learning,F,2010,No
28093,Android,F,2016,Yes
28094,Windows,F,2021,No
28095,Android,Other,2019,No
28096,IOS,M,2018,No
28097,Web,M,2022,Yes
28098,Cybersecurity,F,2015,Yes
28099,DevOps,M,2009,No
28100,Windows,Other,2011,No
28101,Machine Learning,F,2016,Yes
28102,Machine Learning,M,2023,No
28103,Web,M,2017,Yes
28104,Windows,M,2012,No
28105,DevOps,M,2019,Yes
28106,DevOps,M,2018,Yes
28107,Android,F,2019,No
28108,IOS,Other,2015,No
28109,Cybersecurity,F,2014,No
28110,Web,M,2018,Yes
28111,Web,M,2012,Yes
28112,Web,M,2020,No
28113,IOS,F,2023,Yes
28114,Machine Learning,F,2021,No
28115,Machine Learning,Other,2011,Yes
28116,Web,F,2019,No
28117,IOS,M,2010,Yes
28118,Windows,Other,2013,No
28119,Windows,Other,2023,No
28120,Cybersecurity,Other,2010,No
28121,Windows,F,2014,Yes
28122,DevOps,F,2011,Yes
28123,Cloud,F,2021,Yes
28124,Windows,F,2021,Yes
28125,DevOps,M,2010,Yes
28126,Cloud,Other,2011,No
28127,Machine Learning,F,2018,No
28128,IOS,F,2018,No
28129,IOS,M,2014,Yes
28130,Web,F,2018,Yes
28131,Cloud,F,2020,Yes
28132,Windows,F,2018,No
28133,Windows,F,2011,No
28134,Machine Learning,F,2023,Yes
28135,Android,M,2020,Yes
28136,Android,M,2015,No
28137,Web,F,2014,No
28138,DevOps,F,2018,No
28139,Web,M,2017,Yes
28140,IOS,Other,2022,Yes
28141,Cloud,F,2022,Yes
28142,IOS,F,2023,No
28143,DevOps,F,2009,Yes
28144,DevOps,F,2021,No
28145,Cloud,M,2014,No
28146,Android,Other,2009,No
28147,IOS,M,2014,Yes
28148,Android,M,2015,No
28149,Machine Learning,M,2011,No
28150,Cybersecurity,Other,2012,Yes
28151,IOS,M,2018,No
28152,Cloud,F,2022,Yes
28153,Android,M,2010,Yes
28154,Android,Other,2015,Yes
28155,Windows,F,2022,Yes
28156,DevOps,F,2012,No
28157,DevOps,M,2020,No
28158,Machine Learning,M,2017,No
28159,Cloud,F,2017,Yes
28160,Web,F,2016,No
28161,Machine Learning,F,2014,Yes
28162,DevOps,M,2022,No
28163,Android,Other,2021,No
28164,Web,F,2022,Yes
28165,Web,F,2023,No
28166,Android,F,2018,Yes
28167,IOS,M,2015,No
28168,Machine Learning,F,2011,Yes
28169,Cybersecurity,F,2021,Yes
28170,DevOps,F,2023,Yes
28171,Windows,M,2008,Yes
28172,Web,F,2017,Yes
28173,DevOps,F,2021,No
28174,Web,M,2012,No
28175,DevOps,Other,2014,No
28176,DevOps,M,2010,No
28177,Cloud,F,2021,No
28178,Cloud,M,2008,No
28179,IOS,M,2010,Yes
28180,Android,M,2013,No
28181,Android,F,2023,No
28182,Machine Learning,F,2016,Yes
28183,Cybersecurity,M,2010,No
28184,Windows,F,2009,Yes
28185,Machine Learning,F,2015,Yes
28186,Cybersecurity,F,2018,No
28187,Machine Learning,F,2013,No
28188,Machine Learning,M,2017,No
28189,Cloud,F,2016,No
28190,Machine Learning,F,2012,Yes
28191,IOS,F,2018,No
28192,Cybersecurity,M,2020,No
28193,Windows,M,2023,No
28194,Cloud,M,2010,Yes
28195,IOS,Other,2013,Yes
28196,Machine Learning,F,2014,No
28197,Machine Learning,F,2013,Yes
28198,Web,M,2013,Yes
28199,Android,M,2011,No
28200,Cloud,M,2022,No
28201,DevOps,F,2019,No
28202,IOS,M,2022,No
28203,Windows,F,2019,No
28204,IOS,Other,2011,Yes
28205,Machine Learning,F,2019,No
28206,Cloud,F,2012,No
28207,Machine Learning,F,2021,Yes
28208,Cybersecurity,M,2019,Yes
28209,Cybersecurity,M,2022,No
28210,Cloud,F,2019,Yes
28211,Web,F,2009,No
28212,Cybersecurity,F,2021,No
28213,Windows,M,2017,Yes
28214,Android,M,2017,Yes
28215,Windows,M,2010,No
28216,Web,F,2009,No
28217,Android,M,2017,Yes
28218,Android,F,2018,No
28219,Cybersecurity,F,2010,No
28220,Android,F,2017,Yes
28221,Android,F,2017,No
28222,DevOps,F,2011,No
28223,Web,F,2016,Yes
28224,DevOps,M,2022,No
28225,Cloud,F,2020,Yes
28226,Windows,M,2019,Yes
28227,Machine Learning,M,2011,No
28228,Cybersecurity,F,2009,Yes
28229,Web,M,2020,Yes
28230,Cloud,Other,2022,Yes
28231,DevOps,M,2022,Yes
28232,Cybersecurity,Other,2014,No
28233,DevOps,M,2022,No
28234,Android,M,2023,No
28235,DevOps,F,2020,No
28236,Windows,F,2018,No
28237,Windows,Other,2014,No
28238,IOS,F,2018,No
28239,Windows,M,2008,No
28240,Machine Learning,Other,2023,Yes
28241,Web,F,2019,Yes
28242,DevOps,M,2020,Yes
28243,IOS,M,2020,No
28244,Cybersecurity,M,2011,No
28245,DevOps,F,2009,Yes
28246,DevOps,M,2017,Yes
28247,Machine Learning,F,2018,No
28248,Windows,F,2021,Yes
28249,DevOps,F,2020,Yes
28250,Machine Learning,F,2012,No
28251,Windows,Other,2014,No
28252,Web,M,2011,Yes
28253,DevOps,M,2019,No
28254,Cybersecurity,M,2009,No
28255,Android,Other,2013,Yes
28256,IOS,Other,2018,No
28257,Web,Other,2018,Yes
28258,DevOps,F,2017,No
28259,Android,M,2018,Yes
28260,Machine Learning,F,2023,Yes
28261,Machine Learning,F,2008,No
28262,Cloud,M,2009,Yes
28263,Web,M,2014,No
28264,Cloud,M,2014,Yes
28265,Cloud,Other,2019,No
28266,Cybersecurity,Other,2014,No
28267,Cloud,M,2018,Yes
28268,Machine Learning,Other,2019,No
28269,DevOps,M,2013,No
28270,Windows,M,2023,Yes
28271,DevOps,M,2018,Yes
28272,Windows,M,2019,Yes
